provinceID = 9
year,week,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
1982 21   0.00,  0.00,  0.00,  0.27,  0.86,  1.67,  3.71,  7.42, 11.03, 15.55, 18.45, 17.32, 11.62,  6.83,  3.28,  1.56,  0.38,  0.05,  0.00,  0.00,  0.00
1982 22   0.00,  0.00,  0.00,  0.00,  0.81,  1.40,  2.31,  5.27,  9.09, 13.39, 19.69, 18.45, 13.56,  8.39,  5.11,  1.61,  0.75,  0.11,  0.05,  0.00,  0.00
1982 23   0.00,  0.00,  0.00,  0.05,  0.59,  1.02,  2.04,  4.25,  7.53, 12.80, 18.99, 17.21, 15.12, 11.35,  5.38,  2.31,  0.97,  0.32,  0.05,  0.00,  0.00
1982 24   0.00,  0.00,  0.00,  0.16,  0.38,  0.70,  1.88,  3.93,  6.51, 10.97, 16.68, 17.81, 16.19, 12.37,  7.58,  3.07,  1.56,  0.16,  0.00,  0.05,  0.00
1982 25   0.00,  0.00,  0.00,  0.00,  0.22,  0.59,  1.13,  2.85,  4.46,  8.50, 15.55, 16.62, 16.78, 16.25,  9.79,  4.46,  2.15,  0.59,  0.00,  0.00,  0.05
1982 26   0.00,  0.00,  0.00,  0.00,  0.11,  0.38,  0.75,  1.67,  3.66,  7.05, 14.79, 15.55, 18.13, 17.05, 12.32,  4.90,  2.47,  0.75,  0.38,  0.00,  0.05
1982 27   0.00,  0.00,  0.00,  0.00,  0.00,  0.38,  0.70,  1.45,  3.98,  6.67, 14.42, 15.81, 19.85, 16.25, 11.14,  6.24,  1.72,  1.02,  0.27,  0.05,  0.05
1982 28   0.00,  0.00,  0.00,  0.00,  0.00,  0.27,  0.75,  1.72,  3.28,  7.37, 14.25, 17.64, 20.60, 15.22, 10.22,  5.70,  1.67,  0.91,  0.22,  0.11,  0.05
1982 29   0.00,  0.00,  0.00,  0.00,  0.05,  0.32,  0.65,  1.72,  4.03,  5.97, 13.99, 15.55, 18.77, 16.25, 11.35,  5.97,  3.55,  0.91,  0.70,  0.05,  0.16
1982 30   0.00,  0.00,  0.00,  0.00,  0.05,  0.38,  1.02,  2.04,  4.36,  6.72, 11.62, 16.19, 18.13, 14.09, 11.24,  7.05,  3.71,  2.10,  1.08,  0.16,  0.05
1982 31   0.00,  0.00,  0.00,  0.00,  0.16,  0.54,  1.08,  2.96,  3.98,  8.18, 12.96, 15.17, 17.32, 13.50, 10.33,  6.35,  3.71,  2.64,  0.86,  0.16,  0.11
1982 32   0.00,  0.00,  0.00,  0.05,  0.27,  0.70,  2.15,  2.96,  5.49, 10.01, 13.93, 15.92, 15.65, 11.83,  9.20,  5.00,  3.98,  1.99,  0.70,  0.05,  0.11
1982 33   0.00,  0.00,  0.00,  0.05,  0.43,  1.18,  2.10,  4.20,  6.51, 10.70, 14.31, 15.17, 15.12, 11.78,  7.69,  5.49,  3.39,  1.34,  0.32,  0.16,  0.05
1982 34   0.00,  0.00,  0.00,  0.16,  0.97,  1.29,  2.90,  5.11,  8.77, 12.00, 14.09, 15.38, 14.90,  9.31,  7.15,  4.57,  1.88,  0.97,  0.38,  0.16,  0.00
1982 35   0.00,  0.00,  0.05,  0.54,  1.29,  1.88,  4.73,  7.10, 10.54, 13.23, 15.44, 14.90, 11.35,  8.66,  5.38,  2.47,  1.51,  0.70,  0.11,  0.11,  0.00
1982 36   0.00,  0.05,  0.05,  1.02,  1.88,  3.77,  7.10,  9.31, 13.66, 15.92, 15.76, 11.73,  8.55,  5.65,  2.74,  1.88,  0.48,  0.22,  0.16,  0.05,  0.00
1982 37   0.00,  0.00,  0.54,  1.13,  2.80,  6.35, 10.33, 12.26, 17.59, 15.76, 12.64,  8.98,  5.38,  3.55,  1.40,  0.81,  0.22,  0.16,  0.11,  0.00,  0.00
